Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Quartile,Government consumption,Transfers and subsidies,Government investment,Top marginal income tax rate,Top marginal income and payroll tax rate,Top marginal tax rate,State ownership of assets,Size of Government,Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Legal System & Property Rights,Money growth,Standard deviation of inflation,Inflation: Most recent year, Freedom to own foreign currency bank accounts,Sound Money,Revenue from trade taxes (% of trade sector),Mean tariff rate,Standard deviation of tariff rates,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting,Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to Trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation
2017,BEN,Benin,6.08,129,4,7.46,9.77,7,4,3,3.5,7.55,7.06,3.42,4.2,4.94,6.4,,1.07,6.61,5.81,4.98,4.18,7.2,9.59,9.98,0,6.69,5.84,7.56,7.02,6.81,4.73,5.16,4.94,10,5.22,0.77,1.77,2.59,6.08,10,5.46,5,6.82,7.77,5.22,7.74,8,7.57,1,6.22,3.78,4.22,9.67,2.79,9.48,6.97,6.15,6.4
2017,BFA,Burkina Faso,6.07,130,4,2.51,9.59,2,9,4,6.5,8.08,5.73,4.33,4.62,5.08,3.33,5.83,2.14,4.79,5.98,4.68,4.26,9.46,8.5,9.93,0,6.97,6.51,7.56,7.02,7.03,5.27,3.59,4.43,10,5.57,0.77,7.19,4.51,6.49,10,8.03,5,7.68,6.67,4.46,6.41,6,7.94,10,6.91,3.68,4.22,9.12,3.11,8.94,6.97,6.01,6.87
2017,BGD,Bangladesh,6.18,123,4,9.4,9.71,7,8,8,8,6.64,8.15,3.84,3.45,5.09,4.17,3.33,0.94,2.66,3.9,4.73,3.14,9.3,9.75,8.86,0,6.98,5.55,7.22,6.16,6.31,6.26,0,3.13,10,5.5,0,7.63,4.38,5.95,5,8.65,10,7.88,10,5.17,6.5,10,1.37,10,7.17,3.94,2.44,9.15,2.49,6.61,5.12,4.96,6.67
2017,BGR,Bulgaria,7.54,37,1,5.74,5.85,8,10,7,8.5,7.55,7.13,3.49,3.36,4.25,8.33,5,5.08,8.69,4.39,4.9,5.28,8.8,9.34,9.59,10,9.43,9,8.98,6.7,8.23,5.37,9.84,7.6,10,5.3,6.92,7.63,6.62,8.11,10,10,10,10,5.57,4.63,6.92,6,9.25,10,7.06,3.96,6,9.25,3.52,9.33,4.92,6.16,7.74
2017,BHR,Bahrain,7.35,50,2,5.04,8.03,10,10,10,10,1.76,6.97,6.82,6.23,7.44,5,7.5,4.79,8.86,7.76,7.29,5.22,9.96,7.77,9.72,10,9.36,9.48,9.04,6.41,8.31,6.71,6.41,6.56,10,7.46,6.15,0.77,4.79,7.42,10,2.83,10,7.61,8.33,5.69,7.7,8,7.03,10,7.79,6.08,8,9.71,6.6,8.07,9.68,8.02,7.81
2017,BHS,Bahamas,7.25,58,2,7.04,8.34,7,10,10,10,,8.1,,5.9,,10,6.67,4.6,6.28,,,6.52,8.86,8.96,9.7,0,6.88,4.79,3.36,1.9,3.35,6.71,8.11,7.41,10,,0.77,10,5.38,6.54,10,5.87,10,8.62,8.9,,,8,6.55,10,8.36,,5.78,9.19,,7.98,7.79,7.69,8.22
2017,BIH,Bosnia and Herzegovina,6.69,92,3,5.71,5.64,4,10,3,6.5,6.31,5.63,2.72,2.01,3.71,5.3,,3.79,7.84,4.25,5.17,4.19,8.77,9.69,9.77,5,8.31,9.99,8.74,6.82,8.52,5.22,9.6,7.41,10,4.66,3.08,8.52,5.42,7.84,10,10,10,10,5.57,3.65,7.35,10,7.51,10,7.35,2.24,5.11,7.21,3.15,7.74,5.39,5.14,7.5
2017,BLR,Belarus,6.64,99,3,5.59,5.5,10,10,5,7.5,2.04,6.12,,4.1,,5,5.83,6.97,9.94,,,5.33,8.4,7.59,8.79,5,7.44,8.33,8.64,6.71,7.89,6.15,9.74,7.95,10,,0.77,1.77,1.27,6.78,2,10,10,7.33,10,,,10,7.76,1,7.19,,6,9.71,,8.31,7.94,7.99,7.5
2017,BLZ,Belize,6.78,85,3,6.14,8.43,4,9,,9,,6.89,8.03,3.9,7.39,6.4,,3.33,7.29,,4.77,5.21,9.45,9.53,9.78,0,7.19,7.07,7.68,4.29,6.35,4.27,5.82,5.05,10,7.82,0,6.31,4.71,6.53,10,9.84,10,9.95,7.77,4.97,7.99,8,6.55,10,7.55,3.72,4.67,8.26,6.72,8.84,8.35,6.76,8.08
2017,BOL,Bolivia,6.14,126,4,5.85,8.84,0,10,10,10,4.78,5.89,0.24,1.32,2.58,5,4.17,4.49,6.75,2.81,5.99,3.48,9.81,8.11,9.44,10,9.34,9.24,7.64,7.12,8,4.78,3.05,3.91,10,4.04,4.62,10,6.22,7.03,8,4.89,10,7.63,1.1,2.02,5.06,8,,3,3.84,1.83,2.22,8.12,2.1,5.66,0,3.32,4.93
2017,BRA,Brazil,6.23,120,3,4.7,5.22,4,8,4,6,8.35,5.65,4.77,2.88,5.29,6.67,3.33,3.64,8.2,4.19,2.81,4.53,9.14,9.22,9.31,10,9.42,8.62,7.32,6.14,7.36,4.02,7.87,5.94,10,5.2,2.31,8.19,5.23,7.13,5,4.9,5,4.97,2.23,1.71,5.19,6,7.13,3,4.21,1.05,6,9.27,2.91,5,0,4.04,4.41
2017,BRB,Barbados,6.45,112,3,7.75,5.95,6,7,3,5,6.66,6.27,6.43,6.7,6.5,8.9,,3.8,6.57,,4.9,5.88,6.43,9.12,9.07,0,6.16,7.86,7.86,5.63,7.12,,5.29,5.29,10,6.84,0,9.4,5.42,6.96,8,0.86,10,6.29,8.9,,,8,5.68,10,8.15,,6.67,9.44,4.35,5,7.25,6.54,6.99
2017,BRN,Brunei Darussalam,6.62,100,3,0,,0,10,10,10,,3.33,5.01,3.44,5.54,8.33,8.33,4.17,4.8,6.71,7.16,5.31,9.5,5.59,9.97,10,8.77,,9.96,9.29,9.62,5.3,2.34,3.82,10,5.13,6.15,4.31,5.2,7.16,,8.26,10,9.13,10,4.69,7.47,10,10,10,8.69,3.85,8,9.81,5.78,9.56,9.41,7.74,8.52
2017,BTN,Bhutan,6.77,87,3,4.78,9.86,7,9,8,8.5,4.4,6.91,6.16,6.7,6.71,9.3,,7.37,6.9,2.46,7.55,6.41,8.67,9.39,9.23,0,6.82,9.67,5.54,4.2,6.47,4.92,9.5,7.21,10,3.94,0,0.33,1.42,6.28,5,9.3,9,7.77,10,2.01,5.63,10,10,10,7.94,2.54,4.22,9.58,5.74,8.47,9.42,6.66,7.46
2017,BWA,Botswana,7.37,49,2,3.68,8.81,7,9,9,9,3.34,6.37,5.45,5.31,6.81,8.33,5.83,3.07,7.81,6.06,5.57,5.88,9.36,8.35,9.34,10,9.26,1.03,8.48,5.59,5.04,5.54,9.39,7.47,10,6.39,5.38,10,7.26,7.44,8,9.57,10,9.19,10,4.78,6.36,10,3.78,10,7.49,4.22,6.67,8.46,4.83,9.26,8.65,7.01,7.9
2017,CAF,Central African Republic,5.23,151,4,9.44,9.58,4,3,,3,6.5,6.5,5.25,2.5,4.79,1.2,,0.51,4.97,,,2.73,8.45,9.04,9.18,0,6.67,0.89,6.4,6.18,4.49,3.28,2.28,2.78,10,,1.54,1.44,1.49,4.69,5,9.59,10,8.2,0,,,6,7.01,0,3.25,,1.11,7.66,,7.32,4.59,5.17,5.54
2017,CAN,Canada,8.08,8,1,3.97,7.11,8,5,5,5,8.34,6.48,8.68,6.12,8.4,10,9.17,3.65,8.97,8.76,6.87,7.85,8.99,9.53,9.68,10,9.55,9.73,9.2,2.08,7,5.91,9.89,7.9,10,7.02,7.69,5.53,6.75,7.91,10,9.87,10,9.96,8.9,6.19,7.41,8,8.27,10,8.13,4.56,9.78,9.95,6.78,6.85,8.53,7.74,8.61
2017,CHE,Switzerland,8.4,4,1,6.39,5.98,10,8,6,7,8.6,7.6,9.07,7.75,9.23,10,8.33,4.5,9.6,9.23,7.93,8.4,9.92,9.89,9.89,10,9.93,9.91,8.72,0,6.21,6.23,9.89,8.06,10,7.75,3.08,7.74,6.19,7.62,8,10,10,9.33,10,7.77,8.35,6,10,5,7.85,6.21,8,9.57,8.05,8.37,9.29,8.25,8.48
2017,CHL,Chile,7.89,13,1,6.38,8.5,10,7,7,7,8.99,8.17,6.46,4.7,7.01,7.5,7.5,5.29,9.07,7.99,5.21,6.44,9.1,9.47,9.56,10,9.53,9.79,9.79,9.76,9.78,7.15,6.83,6.99,10,7.57,3.08,9.07,6.57,8.34,8,8.82,9,8.61,6.67,3.37,8.35,10,2.52,1,5.32,3.94,7.78,9.75,5.96,7.74,6.68,6.97,6.97
2017,CHN,China,6.42,113,3,3.8,8.29,2,6,6,6,3.24,4.67,5.82,5.17,5.96,5,5.83,5.72,8.32,5.98,6.31,5.58,9.98,9.33,9.68,5,8.5,9.36,8.04,6.94,8.11,5.81,8.17,6.99,10,5.89,0,0.55,2.15,6.81,2,9.41,10,7.14,8.9,5.77,6.05,10,2.52,0,5.54,5.63,3.78,9.72,5.85,8.41,8.41,6.97,6.55
2017,CIV,Cote d'Ivoire,5.97,134,4,6.49,9.4,4,3,1,2,7.79,5.93,2.42,4.2,4.77,4.17,4.17,3.97,7.1,3.85,4.63,4.21,9.34,9.26,9.86,0,7.12,5.09,7.56,7.02,6.56,5.96,1.83,3.9,10,6.45,0.77,2.43,3.22,5.92,10,8.08,5,7.69,5.57,5.1,7.49,8,7.57,3,6.12,3.62,3.78,9.77,3.98,8.27,7.7,6.19,6.67
2017,CMR,Cameroon,5.84,140,4,7.72,9.57,7,5,4,4.5,5.94,6.95,3.37,4.06,5.16,5,3.33,2.17,3.47,5.31,4.32,3.2,9.86,9.55,9.87,0,7.32,3.84,6.36,6.29,5.5,5.05,0,2.53,10,5.69,1.54,0.55,2.6,5.15,5,6.5,10,7.17,7.23,4.92,6.82,8,7.01,10,7.33,4.06,3.33,9.27,2.94,8.69,3.01,5.22,6.57
2017,COD,"Congo, Dem. Rep.",5,157,4,9.81,8.85,8,5,3,4,3.99,6.93,2.27,3.04,3.7,2.5,1.67,0.97,5.9,3.56,5.74,3.11,8.07,2.69,1.7,5,4.37,7.79,7.82,7.65,7.75,4.41,0,2.21,10,5.71,0.77,0.33,2.27,5.56,0,10,3,4.33,1.67,5.05,6.64,8,10,3,5.73,3.25,0,9.48,2.75,8.9,6.12,5.08,5.05
2017,COG,"Congo, Rep. of",5.08,154,4,4.72,9.9,4,5,3,4,5.43,5.61,3.07,3.6,,5,3.33,3.01,4.39,,,3.1,7.58,5.46,9.91,0,5.74,9.35,7.62,7,7.99,4.03,0,2.01,10,,1.54,1.55,1.54,5.39,0,7.9,10,5.97,1.1,,,4,7.53,10,5.66,,1.11,7.61,,8.23,3.25,5.05,5.56
2017,COL,Colombia,6.68,94,3,6.52,8,10,7,2,4.5,7.21,7.24,3.14,2.78,4.92,4.17,3.33,2.22,9.06,3.96,3.17,3.94,9.43,9.2,9.14,5,8.19,9.13,8.86,6.37,8.12,4.91,3.63,4.27,8.76,5.54,1.54,9.62,5.57,6.68,10,9.73,10,9.91,8.9,3.87,6.34,10,4.82,1,5.82,2.66,6.67,9.5,2.94,8.75,7.14,6.28,7.34
2017,CPV,Cape Verde,7.16,63,2,5.65,9.36,7,8,4,6,7.91,7.18,5.33,3.77,5.22,8.7,,6.06,8.83,5.42,5.01,6.04,8.77,9.7,9.84,5,8.33,7.25,8,4.84,6.7,4.92,6.66,5.79,10,5.96,2.73,10,6.23,7.18,10,8.61,10,9.54,3.9,4.5,6.87,8,5.07,1,4.89,4.6,5.56,9.27,4.45,9.16,7.98,6.84,7.09
2017,CRI,Costa Rica,7.41,46,2,5.51,8.46,8,9,4,6.5,6.74,7.04,6.86,4.42,6.49,10,4.17,3.52,8.67,6.1,5.41,5.82,9.84,9.51,9.67,10,9.76,8.58,8.88,6.42,7.96,4.85,7.47,6.16,10,6.9,6.92,9.29,7.71,7.96,5,6.39,9,6.8,2.23,4.71,6.25,8,5.66,10,6.14,2.62,5.11,9.16,4.74,8.71,8.31,6.44,6.46
2017,CYP,Cyprus,7.68,28,1,6.41,5.91,8,7,7,7,7.29,6.92,6.24,4.52,6.2,8.33,8.33,4,6.44,6.31,6.89,6.13,8.02,9.51,9.89,10,9.36,9,8.98,6.7,8.23,6.44,9.31,7.88,10,6.32,6.92,7.74,7,8.27,10,10,10,10,5.57,4.8,6.13,10,10,1,6.25,4.69,8.89,9.68,4.67,5,8.63,6.93,7.72
2017,CZE,Czech Rep.,7.75,22,1,3.31,5.23,10,9,4,6.5,8.25,6.66,5.89,3.29,6.1,10,8.33,3.3,8.17,6.38,7.53,6.4,7.83,9.77,9.51,10,9.28,9,8.98,6.7,8.23,6.85,9.96,8.4,10,7.95,3.08,7.74,6.26,8.22,10,10,10,10,8.9,3.9,8.01,10,7.76,10,8.09,2.83,8,9.21,4.4,6.91,7.42,6.46,8.19
2017,DEU,Germany,7.82,20,1,3.85,3.08,10,5,5,5,8.92,6.17,7.4,6.96,7.58,10,8.33,5.83,6.81,7.2,6.64,7.42,8.26,9.88,9.7,10,9.46,9,8.98,6.7,8.23,6.83,9.18,8,10,6.94,3.08,7.74,5.92,8.04,5,10,10,8.33,8.9,6.17,5.84,8,6.26,10,7.53,6.34,9.33,9.57,7.1,8.86,7.56,8.13,8
2017,DNK,Denmark,7.89,13,1,1.55,4.53,8,3,2,2.5,6.96,4.71,8.57,6.07,8.19,10,10,5.39,9.73,7.82,6.92,8.08,9.84,9.74,9.77,10,9.84,9,8.98,6.7,8.23,6.58,9.96,8.27,10,7.45,6.92,7.74,7.37,8.47,10,10,10,10,10,6.89,5.71,8,10,3,7.27,4.27,6.89,9.84,7.72,9.87,8.52,7.85,8.37
2017,DOM,Dominican Republic,6.92,77,2,7.37,9.66,0,9,7,8,7.13,6.43,2.27,3.03,5.02,5,4.17,3.53,8.03,2.68,3.25,4.11,9.18,9.5,9.34,10,9.51,8.77,8.54,6.47,7.92,5.19,8.87,7.03,10,6.54,3.85,10,6.79,7.94,5,10,10,8.33,5.57,3.7,6.08,8,2.78,10,6.02,3.12,4.67,9.22,2.22,7.55,6.45,5.54,6.63
2017,DZA,Algeria,4.77,159,4,2.71,7.82,0,7,2,4.5,2.86,3.58,4.26,4.32,4.8,4.17,5,4.39,6.63,6.1,6.74,4.73,6.99,8.5,8.88,5,7.34,8.48,6.24,5.94,6.89,4.77,0.47,2.62,0,3.66,0,1.11,1.59,2.77,0,5.3,10,5.1,5.57,4.14,6.05,6,7.76,3,5.42,3.72,1.78,9.32,3.77,8.69,7.03,5.72,5.41
2017,ECU,Ecuador,6.28,118,3,6.01,9.59,6,6,4,5,5.98,6.52,1.35,2.18,3.95,2.5,4.17,4.87,8.59,4.74,4.55,4,9.26,9.15,9.92,5,8.33,6.53,7.56,4.92,6.34,3.24,5.24,4.24,10,3.42,3.08,10,5.5,6.52,8,7.71,10,8.57,4.43,2.38,6.41,6,0.65,10,4.98,2.14,3.11,8.22,2.61,8.76,2.56,4.57,6.04
2017,EGY,Egypt,5.05,155,4,8.74,7.07,0,9,5,7,1.5,4.86,6.91,4.32,5.46,1.67,5,3.41,8.2,6.32,5.67,4.04,6.55,7.45,4.1,5,5.77,8.28,6.18,0,4.82,5.39,2.02,3.7,10,4.3,4.62,5.2,4.71,5.81,2,0,9,3.67,10,4.8,6.38,8,0.65,0,4.97,3.69,2.89,9.21,4.76,8.09,5.61,5.71,4.78
2017,ESP,Spain,7.55,36,1,4.64,4.77,10,4,4,4,7.03,6.09,5.22,3.82,5.94,8.33,8.33,5.58,7.75,8.64,7.23,6.76,8.22,9.76,9.61,10,9.4,9,8.98,6.7,8.23,6.29,9.96,8.13,10,6.76,3.08,7.74,5.86,8.05,10,7.97,10,9.32,3.9,3.48,6.41,8,5.07,10,6.14,2.9,7.56,9.52,4.68,8.51,8.35,6.92,7.46
2017,EST,Estonia,7.89,13,1,3.42,6.05,7,10,4,7,7.47,6.19,7.64,5.36,7.33,8.33,6.67,5.7,9.5,8.31,7.71,7.4,8.31,9.46,9.32,10,9.27,9,8.98,6.7,8.23,7,9.92,8.46,10,7.82,5.38,7.74,6.98,8.42,10,9.86,10,9.95,6.67,5.89,8.62,4,9.25,3,6.24,5.09,10,9.83,6.85,9.24,9.44,8.41,8.2
2017,ETH,Ethiopia,5.72,143,4,6.98,9.11,4,7,3,5,2.8,5.58,4.47,4.3,5.34,1.67,7.5,5.55,7.04,5.02,5.69,4.66,9.02,8.9,8.03,0,6.49,3.17,6.52,5.34,5.01,4.7,3.28,3.99,10,4.38,0,0.22,1.53,5.13,2,9.22,10,7.07,6.67,4.47,5.54,10,7.04,10,7.29,4.63,2.44,8.42,4.03,8.71,6.64,5.81,6.72
2017,FIN,Finland,7.8,21,1,3.03,3.64,8,3,2,2.5,6.38,4.71,9.6,7.97,9.28,10,10,5.83,7.8,9.68,8.91,8.78,8.06,9.72,9.85,10,9.41,9,8.98,6.7,8.23,7.86,9.12,8.49,10,7.66,3.08,7.74,6.16,8.22,10,9.7,10,9.9,3.9,4.18,2.24,8,10,3,5.22,6.14,8.22,9.43,8.62,9.86,8.99,8.54,7.89
2017,FJI,Fiji,6.74,90,3,4.69,9.06,6,5,5,5,5.1,5.97,3.13,5.1,4.5,8.4,,4.88,7.71,,,5.34,9.33,9.37,9.33,0,7.01,6.33,7.78,0,4.7,5.59,6.42,6.01,10,,0,10,5,6.43,10,9.29,10,9.76,8.9,,,10,8.27,10,9.29,,6.67,8.55,,8.62,7.23,7.77,8.94
2017,FRA,France,7.35,50,2,2.84,2.3,8,5,2,3.5,7.44,4.82,7.11,5.57,7.51,8.33,8.33,6.43,6.81,7.78,6.54,6.99,8.16,9.94,9.79,10,9.48,9,8.98,6.7,8.23,5.35,9.96,7.66,10,7.18,5.38,7.74,6.77,8.16,8,8.82,10,8.94,2.23,2.6,6.71,4,8.13,10,5.61,3.04,8.89,9.88,6.29,7.93,8.44,7.41,7.32
2017,GAB,Gabon,5.88,138,4,4.48,9.81,10,5,2,3.5,3.68,6.29,,4.4,5.15,3.33,5,2.92,4.29,6.45,5.93,4.21,7.19,7.82,9.47,0,6.12,,6.46,6.11,6.28,5.58,3.57,4.57,10,6.6,1.54,0.22,2.79,5.91,5,9.33,10,8.11,7.23,5.8,6.02,8,8.5,10,7.59,4.44,2.67,8.94,3.69,6.42,2.92,4.84,6.85
2017,GBR,United Kingdom,8.09,7,1,5.33,5.48,8,6,2,4,8.24,6.21,8.56,6.98,8.72,10,8.33,4.39,8.02,8.31,6.68,7.78,9.47,9.71,9.49,10,9.67,9,8.98,6.7,8.23,6.98,9.31,8.15,10,8.29,4.62,9.07,7.33,8.43,8,8.63,10,8.88,8.9,6.9,7.96,8,8.53,10,8.38,5.02,6.44,9.86,7.17,9.52,8.82,7.8,8.35
2017,GEO,Georgia,7.94,12,1,5.42,6.91,8,10,10,10,7.59,7.58,4.27,4.1,6.19,5.3,,6.8,9.98,7.02,7.03,6.34,7.86,8.91,8.79,10,8.89,9.89,9.7,8.29,9.29,6.52,9.57,8.05,10,6.42,6.92,9.51,7.62,8.74,10,9.64,10,9.88,6.67,5.76,7.19,8,9.25,3,6.64,6.13,8.44,9.91,5.62,9.89,7.53,7.92,8.15
2017,GHA,Ghana,6.58,103,3,8.49,9.64,6,9,5,7,8.9,8.01,5.95,5.42,5.6,5,4.17,3.72,7.11,6.19,5.56,5.23,7.21,8.79,7.53,0,5.88,7.29,7.6,6.98,7.29,5.63,3.97,4.8,10,6.43,3.85,2.54,4.27,6.59,8,7.19,10,8.4,10,5.79,6.02,8,0,10,6.64,4.7,5.78,9.38,3.54,8.14,7.49,6.5,7.18
2017,GIN,Guinea,5.86,139,4,6.96,,6,5,3,4,4.64,5.4,2.5,2.76,5.88,0.83,4.17,5.39,6.6,1.97,4.08,3.24,9.09,8.8,8.22,5,7.78,,7.58,7.05,7.31,4.54,1.9,3.22,10,6.39,0.83,2.32,3.18,5.93,,10,10,10,5.57,4.82,7.51,6,8.13,0,5.34,4.18,2.44,9.1,3.21,8.45,5.52,5.48,6.94
2017,GMB,"Gambia, The",7.23,60,2,8.32,9.58,4,8,8,8,6.24,7.23,4.82,4.92,5.56,3.33,5.83,5.09,6.25,7.28,6.94,5.43,9.05,9.46,8.39,10,9.22,5.24,7.56,7.02,6.61,5.28,4.8,5.04,8.89,7.02,7.69,10,8.24,7.19,10,2.51,9,7.17,10,4.56,7.1,10,5.51,10,7.86,5.68,3.33,7.93,5,8.57,6.35,6.14,7.06
2017,GNB,Guinea-Bissau,5.23,151,4,8.85,,0,10,4,7,4.31,5.04,1.72,3,0,3.33,4.17,3.3,7.32,,,2.85,7.47,7.89,9.73,0,6.27,,7.56,7.02,7.29,8.03,4.33,6.18,10,,0.77,1.55,1.16,6.16,10,7.6,4,7.2,3.33,,,8,2.52,0,3.46,,2.67,8.75,,8.54,7.56,6.88,5.85
2017,GRC,Greece,6.59,102,3,5.19,3.99,4,4,0,2,6.77,4.39,4.53,2.16,4.79,8.33,7.5,4.13,8.04,5.49,6.57,5.73,7.63,9.5,9.78,5,7.98,9,8.98,6.7,8.23,6.5,9.42,7.96,10,5.02,0.77,7.74,4.51,7.68,10,10,10,10,5.57,4.16,5.66,6,5.51,3,4.98,2.21,6.67,9.58,3.89,8.91,7.84,6.52,7.17
2017,GTM,Guatemala,7.57,34,1,8.79,9.87,10,10,9,9.5,9.04,9.44,4.11,2.99,5.04,6.67,4.17,3.39,8.33,3.14,2.56,4.33,9.19,9.88,9.12,10,9.55,9.29,8.88,7.51,8.56,5.76,6.62,6.19,10,6.42,6.92,8.74,7.36,8.03,10,8.88,10,9.63,3.33,4.98,7.08,4,1.27,3,3.94,3.22,5.33,9.33,3.4,7.16,7.22,5.94,6.5
